type,has_paw, icon_location
SKIP,true,/images/skip.jpg
SKIP,true,/images/skip.jpg
SKIP,true,/images/skip.jpg
SKIP,true,/images/skip.jpg
SKIP,false,/images/skip.jpg
SKIP,false,/images/skip.jpg
SKIP,false,/images/skip.jpg
SKIP,false,/images/skip.jpg
SKIP,false,/images/skip.jpg
SKIP,false,/images/skip.jpg
FAVOR,false,/images/favor.jpg
FAVOR,true,/images/favor.jpg
FAVOR,false,/images/favor.jpg
FAVOR,false,/images/favor.jpg
FAVOR,false,/images/favor.jpg
FAVOR,true,/images/favor.jpg
SHUFFLE,true,/images/shuffle.jpg
SHUFFLE,true,/images/shuffle.jpg
SHUFFLE,false,/images/shuffle.jpg
SHUFFLE,false,/images/shuffle.jpg
SHUFFLE,false,/images/shuffle.jpg
SHUFFLE,False,/images/shuffle.jpg
BEARD_CAT,true,/images/beard_cat.jpg
BEARD_CAT,true,/images/beard_cat.jpg
BEARD_CAT,true,/images/beard_cat.jpg
BEARD_CAT,false,/images/beard_cat.jpg
BEARD_CAT,false,/images/beard_cat.jpg
BEARD_CAT,false,/images/beard_cat.jpg
BEARD_CAT,false,/images/beard_cat.jpg
TACO_CAT,true,/images/taco_cat.png
TACO_CAT,true,/images/taco_cat.png
TACO_CAT,true,/images/taco_cat.png
TACO_CAT,false,/images/taco_cat.png
TACO_CAT,false,/images/taco_cat.png
TACO_CAT,false,/images/taco_cat.png
TACO_CAT,false,/images/taco_cat.png
HAIRY_POTATO_CAT,true,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,true,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,true,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,false,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,false,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,false,/images/hairy_potato_cat.png
HAIRY_POTATO_CAT,false,/images/hairy_potato_cat.png
RAINBOW_RALPHING_CAT,true,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,true,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,true,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,false,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,false,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,false,/images/rainbow_ralphing_cat.png
RAINBOW_RALPHING_CAT,false,/images/rainbow_ralphing_cat.png
CATTERMELON,false,/images/cattermelon.png
CATTERMELON,false,/images/cattermelon.png
CATTERMELON,false,/images/cattermelon.png
CATTERMELON,false,/images/cattermelon.png
CATTERMELON,true,/images/cattermelon.png
CATTERMELON,true,/images/cattermelon.png
CATTERMELON,true,/images/cattermelon.png
FERAL_CAT,true,/images/feral_cat.png
FERAL_CAT,true,/images/feral_cat.png
FERAL_CAT,false,/images/feral_cat.png
FERAL_CAT,false,/images/feral_cat.png
FERAL_CAT,false,/images/feral_cat.png
FERAL_CAT,false,/images/feral_cat.png
DRAW_FROM_THE_BOTTOM,true,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,true,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,true,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,false,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,false,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,false,/images/draw_from_the_bottom.png
DRAW_FROM_THE_BOTTOM,false,/images/draw_from_the_bottom.png
NOPE,true,/images/nope.png
NOPE,true,/images/nope.png
NOPE,true,/images/nope.png
NOPE,true,/images/nope.png
NOPE,false,/images/nope.png
NOPE,false,/images/nope.png
NOPE,false,/images/nope.png
NOPE,false,/images/nope.png
NOPE,false,/images/nope.png
ATTACK,true,/images/attack.png
ATTACK,true,/images/attack.png
ATTACK,false,/images/attack.png
ATTACK,false,/images/attack.png
ATTACK,false,/images/attack.png
ALTER_THE_FUTURE,true,/images/alter_the_future.png
ALTER_THE_FUTURE,true,/images/alter_the_future.png
ALTER_THE_FUTURE,false,/images/alter_the_future.png
ALTER_THE_FUTURE,false,/images/alter_the_future.png
ALTER_THE_FUTURE,false,/images/alter_the_future.png
ALTER_THE_FUTURE,false,/images/alter_the_future.png
TARGETED_ATTACK,true,/images/targeted_attack.png
TARGETED_ATTACK,true,/images/targeted_attack.png
TARGETED_ATTACK,false,/images/targeted_attack.png
TARGETED_ATTACK,false,/images/targeted_attack.png
TARGETED_ATTACK,false,/images/targeted_attack.png
SEE_THE_FUTURE,true,/images/see_the_future.png
SEE_THE_FUTURE,true,/images/see_the_future.png
SEE_THE_FUTURE,true,/images/see_the_future.png
SEE_THE_FUTURE,false,/images/see_the_future.png
SEE_THE_FUTURE,false,/images/see_the_future.png
SEE_THE_FUTURE,false,/images/see_the_future.png
SEE_THE_END,true,/images/see_the_end.png
SEE_THE_END,true,/images/see_the_end.png
SEE_THE_END,true,/images/see_the_end.png
SEE_THE_END,false,/images/see_the_end.png
SEE_THE_END,false,/images/see_the_end.png
SEE_THE_END,false,/images/see_the_end.png
